User_ID,Age,Gender,Social_Media_Hours,Exercise_Hours,Sleep_Hours,Screen_Time_Hours,Survey_Stress_Score,Wearable_Stress_Score,Support_System,Academic_Performance, Social_Media_Hours,Parental_Pressure,Peer_Pressure,Mood_Rating,Self_Esteem_Score,Relationship_Issues,Time_Management,Home_Environment,Sleep_Quality,Financial_Stress,Diet_Quality,Anxiety_Symptoms
44,15,F,5.954148016,3,7,6,3,0.249430043,Moderate,Good,6,0,1,1,1.9,1,1,1,0,0,0,1
45,17,M,8.865954415,2,9,5,3,0.14556012,High,Good,9,0,2,2,4.24,1,1,2,1,0,1,1
46,13,F,4.109425524,3,7,5,2,0.359036602,High,Average,4,2,1,2,4.51,0,2,1,0,1,1,0
47,14,F,6.043044198,2,10,10,4,0.400882824,High,Poor,6,1,1,4,1.29,0,2,2,1,0,1,1
48,16,F,6.300186806,1,9,8,1,0.32608798,High,Good,6,0,0,5,1.13,1,0,0,0,0,2,1
49,13,M,4.173829418,3,7,2,1,0.976481113,High,Excellent,4,1,1,3,3.98,1,2,2,1,0,1,0
50,16,M,1.443120437,1,10,11,3,0.880820669,Low,Poor,1,1,1,3,1.53,1,2,2,2,1,2,2
51,18,F,0.935594069,3,6,5,3,0.872975496,High,Good,1,1,0,4,1.53,1,2,2,2,0,2,1
52,14,M,0.166715506,1,6,12,4,0.398767591,Low,Poor,0,0,2,2,1.09,0,0,1,1,1,1,0
53,14,F,8.735342642,0,4,12,3,0.96286964,High,Excellent,9,1,2,3,1.2,1,0,2,0,0,0,0
54,13,F,2.364749122,3,8,11,1,0.684015296,High,Average,2,0,1,2,2.05,1,0,0,1,1,1,1
55,14,M,2.115067493,2,8,10,2,0.831994669,Low,Average,2,1,2,4,1.26,0,2,0,1,0,1,2
56,17,F,7.360354004,3,9,4,1,0.500875125,High,Excellent,7,2,1,2,2.48,1,2,0,0,0,0,0
57,14,M,3.200161131,3,5,7,4,0.160617293,Low,Average,3,2,0,2,4.33,0,0,2,2,0,0,1
58,16,F,5.060446924,0,7,4,2,0.886885505,Moderate,Excellent,5,0,0,2,2.31,0,2,0,1,1,1,2
59,16,M,1.625110653,2,5,5,2,0.486426739,Moderate,Average,2,2,1,3,3.91,0,2,1,2,1,1,1
60,16,F,9.597457215,1,8,8,1,0.968554909,Moderate,Good,10,2,0,1,1.38,1,1,0,2,1,2,0
61,16,F,8.515814,2,5,2,2,0.254861011,High,Average,9,1,0,5,3.64,0,0,2,2,1,0,0
62,17,M,8.63789623,2,9,12,2,0.992378991,High,Poor,9,0,1,2,2.27,0,0,0,1,0,2,0
63,15,F,4.067737486,1,5,11,3,0.222424682,High,Average,4,1,1,2,4.0,0,2,2,1,0,2,1
64,18,F,7.623612137,2,6,6,2,0.368166758,High,Average,8,1,0,2,1.55,1,2,2,0,1,2,0
65,13,M,1.438761554,2,9,7,4,0.594016523,Low,Average,1,1,2,1,4.59,1,1,0,0,1,2,1
66,16,F,0.086190026,0,7,7,2,0.693323059,Moderate,Average,0,1,2,4,1.97,1,0,1,1,1,0,2
67,14,M,0.199729326,2,4,11,3,0.720282169,Low,Good,0,1,1,3,2.41,1,0,1,0,1,0,2
68,16,F,5.866017374,2,7,9,5,0.476252409,Moderate,Excellent,6,1,1,1,4.8,0,2,0,2,1,0,2
69,14,M,4.553949052,3,5,5,5,0.076826957,Moderate,Good,5,1,2,2,3.31,0,0,2,2,1,1,2
70,18,F,5.180153489,1,10,6,4,0.496048152,Low,Good,5,0,0,1,2.46,0,2,0,1,0,2,0
71,18,F,0.074631404,0,8,6,4,0.334687953,Low,Poor,0,2,2,1,4.8,1,1,2,2,1,1,0
72,18,F,4.226866197,2,6,12,2,0.657655609,Low,Excellent,4,1,2,1,2.32,0,2,2,1,1,0,1
73,14,M,7.180681612,0,7,4,2,0.182275584,Moderate,Excellent,7,1,2,4,1.38,1,1,2,1,1,0,2
74,16,M,4.42693702,3,4,3,5,0.393912325,Low,Poor,4,1,2,5,4.99,1,2,1,1,0,1,2
75,18,M,7.322192063,0,9,11,5,0.966119154,High,Excellent,7,1,1,3,2.07,1,1,1,2,1,2,1
76,17,M,2.330189644,2,10,11,1,0.088867399,Low,Average,2,1,1,4,4.41,0,1,0,1,0,0,1
77,14,F,8.131420045,2,9,11,5,0.602334158,Moderate,Excellent,8,1,0,4,1.66,0,0,1,1,0,2,1
78,14,F,5.884312405,1,6,7,5,0.090648229,Moderate,Poor,6,2,0,5,3.93,1,2,2,0,1,2,1
79,16,M,2.107630994,0,6,9,4,0.156995656,Low,Poor,2,2,0,4,3.1,0,0,2,2,0,0,2
80,14,M,2.367204759,2,4,8,1,0.604934389,Low,Poor,2,1,0,1,4.92,1,0,0,1,1,1,0
81,14,M,6.280304646,2,8,3,1,0.443995523,Moderate,Poor,6,2,2,1,3.21,0,2,2,0,0,2,2
82,18,F,8.299395932,1,7,8,2,0.548498997,Moderate,Good,8,0,1,2,1.1,1,0,0,1,1,1,1
83,16,M,4.15627782,3,7,2,2,0.879872171,Low,Excellent,4,1,1,4,3.42,1,0,0,2,1,2,0
84,18,M,2.583004291,1,9,5,1,0.817240243,High,Good,3,0,0,2,1.58,1,0,2,0,0,2,2
85,18,F,8.670116069,1,5,11,1,0.887981449,High,Poor,9,0,0,3,4.19,0,2,1,0,1,0,1
86,16,F,6.692682918,2,4,5,2,0.616254921,High,Poor,7,1,2,1,4.43,0,0,2,1,1,1,0
87,13,M,4.480854873,0,4,11,4,0.48964317,Moderate,Good,4,2,2,3,2.93,0,0,2,1,0,2,0
88,18,F,4.879001953,3,5,5,4,0.459197582,High,Average,5,0,0,5,4.13,0,0,0,2,0,1,1
89,17,M,2.042564679,1,4,5,4,0.739808556,High,Excellent,2,1,1,1,1.58,0,2,1,2,1,2,0
90,17,F,6.268026301,0,7,8,4,0.521299878,Low,Good,6,0,1,3,2.97,1,1,0,1,0,1,2
91,14,M,3.587425105,1,6,10,2,0.105768796,Low,Excellent,4,0,1,5,2.58,0,1,2,0,1,1,2
92,17,M,9.956451767,2,5,7,3,0.141939024,High,Poor,10,0,0,3,3.45,1,1,0,2,0,0,2
93,14,M,4.801835153,2,9,11,5,0.357082768,Moderate,Poor,5,0,1,5,1.18,0,1,0,2,0,2,0
94,13,M,4.858856062,2,5,2,5,0.067823372,High,Poor,5,2,2,5,4.01,0,0,2,0,0,2,0
95,16,F,5.658517874,0,8,11,5,0.239231219,Low,Excellent,6,0,2,1,1.32,0,2,0,1,1,2,1
96,16,F,9.167560031,1,6,4,5,0.656400853,Low,Excellent,9,0,0,2,3.63,1,0,2,2,1,2,1
97,16,F,8.008180999,2,7,11,2,0.012430312,Low,Good,8,0,2,5,1.07,0,2,0,0,1,0,0
98,17,F,4.511300698,0,10,6,3,0.604092866,High,Poor,5,2,0,5,4.33,1,0,1,2,1,0,2
99,13,M,7.18699266,3,4,10,2,0.772356923,Moderate,Good,7,0,1,1,1.7,0,1,2,0,1,2,0
100,17,M,5.862354988,0,7,9,3,0.170153752,High,Average,6,0,1,2,3.06,1,1,1,2,0,1,2
101,17,F,4.923670487,3,9,4,2,0.180968563,Low,Poor,5,2,1,4,2.05,1,2,0,1,1,0,1
102,13,F,1.923157728,1,8,11,1,0.028856367,Low,Poor,2,2,2,4,3.89,1,0,1,0,0,1,0
103,13,F,4.639362635,2,6,4,3,0.512450039,Low,Average,5,2,0,2,2.29,1,1,1,2,0,1,0
104,13,F,2.45818587,0,6,4,5,0.654587557,Low,Good,2,0,1,3,3.9,0,2,1,2,0,1,0
105,13,F,9.148421499,0,8,10,3,0.456909582,High,Excellent,9,2,0,1,2.14,0,0,0,0,1,2,2
106,16,M,3.354068135,1,9,3,4,0.38944881,High,Poor,3,2,1,2,4.01,1,2,2,0,0,0,1
107,15,M,9.522640145,0,4,4,3,0.454412817,Moderate,Excellent,10,0,2,4,1.12,0,0,0,1,1,2,2
108,15,M,5.330552901,1,4,7,4,0.781528219,Low,Poor,5,2,2,5,2.13,1,0,0,0,1,1,1
109,13,F,6.315443787,2,6,10,4,0.033514307,High,Poor,6,0,0,4,2.99,0,0,0,2,1,2,2
110,15,F,5.429404445,2,5,3,1,0.783818561,High,Excellent,5,1,2,5,1.18,0,2,2,1,1,1,1
111,15,F,1.29380617,2,6,7,3,0.666342116,Low,Poor,1,2,2,1,1.74,0,2,0,0,0,2,2
112,13,F,3.75821219,2,5,9,1,0.241426554,High,Average,4,1,0,5,4.74,1,0,0,2,1,2,0
113,15,M,0.991461123,2,5,11,5,0.524739726,Low,Good,1,0,1,2,4.91,0,1,2,0,0,0,2
114,17,M,6.229540442,1,5,11,3,0.049290671,Moderate,Average,6,2,2,5,3.96,1,0,2,2,0,0,0
115,14,F,4.468741952,1,10,10,2,0.37958867,Low,Good,4,0,0,3,2.01,0,2,2,2,1,1,0
116,14,M,7.779849716,1,5,9,2,0.174042479,Low,Average,8,1,2,2,2.04,1,0,1,1,0,1,0
117,13,M,2.20470481,3,5,6,2,0.022300386,High,Average,2,0,2,1,3.58,0,2,2,1,0,1,2
118,16,F,1.645660584,1,5,3,4,0.357089498,Moderate,Good,2,2,2,2,1.47,1,0,1,0,0,2,0
119,13,F,4.06332231,0,10,9,2,0.726112417,Moderate,Poor,4,2,2,3,4.79,1,0,1,1,1,1,2
120,16,F,9.265853832,2,9,12,5,0.921021867,High,Excellent,9,1,0,1,1.9,1,1,0,0,0,0,1
121,14,F,7.10421815,1,9,9,3,0.662263513,Moderate,Excellent,7,0,0,4,5.0,0,1,1,1,1,1,2
122,13,F,4.189236248,3,5,2,3,0.401970128,Moderate,Excellent,4,2,0,3,2.98,1,2,0,1,1,1,2
123,18,F,5.172721698,3,9,7,4,0.999496112,Low,Poor,5,1,2,1,4.09,0,0,1,0,1,2,2
124,17,M,0.842130112,0,6,8,4,0.282943508,High,Average,1,2,2,5,1.01,1,2,2,1,1,0,1
125,15,M,9.845758964,0,6,9,4,0.187131433,Moderate,Average,10,2,2,2,4.55,1,0,0,1,0,1,1
126,16,F,6.664073047,1,7,9,5,0.463682269,Moderate,Average,7,0,0,1,2.08,1,0,1,1,0,0,1
127,18,M,2.854040685,2,9,8,3,0.504911415,Moderate,Poor,3,2,2,2,3.67,0,0,0,1,0,1,0
128,15,F,5.858083942,1,9,4,1,0.35482338,Low,Good,6,0,1,5,4.23,0,1,2,0,1,0,2
129,15,F,1.094823661,2,9,11,4,0.695499079,Low,Poor,1,2,2,1,1.66,0,2,1,2,0,1,2
130,13,F,9.658366688,2,10,9,2,0.183864412,High,Excellent,10,1,1,4,2.77,0,0,1,0,1,1,0
131,15,F,1.747849879,1,5,4,1,0.51033976,High,Average,2,2,2,3,2.98,0,0,2,0,0,2,0
132,17,M,6.480303181,0,7,5,1,0.500126959,Low,Poor,6,0,0,1,2.25,0,2,1,0,1,2,2
133,18,F,2.454544625,2,4,11,4,0.823786423,High,Poor,2,0,2,5,2.93,0,2,1,1,1,0,0
134,15,M,7.175613826,1,9,11,2,0.926968199,High,Poor,7,1,1,1,2.27,1,0,0,1,1,0,0
135,13,F,7.768213672,3,5,6,4,0.663265874,High,Good,8,2,1,2,2.44,1,1,1,2,1,0,1
136,17,F,6.734197289,1,9,2,4,0.30537159,Low,Average,7,2,2,1,3.68,0,1,2,1,0,0,0
137,14,F,6.144994603,2,6,2,2,0.68961102,Low,Poor,6,1,1,4,3.53,0,0,1,2,1,2,0
138,18,M,8.92469094,3,6,5,1,0.251371129,Moderate,Poor,9,2,1,1,1.93,0,1,0,2,0,0,2
139,15,F,0.78626711,3,4,8,1,0.96654439,Moderate,Excellent,1,2,0,3,4.59,0,2,1,1,0,1,0
140,13,F,3.309147658,1,6,8,2,0.822362119,Moderate,Average,3,0,2,1,4.45,0,1,0,2,0,1,0
141,14,F,2.482874796,1,9,8,1,0.431190255,Moderate,Poor,2,2,2,2,3.04,1,2,1,0,1,1,0
142,14,M,9.880139621,2,4,9,5,0.784343517,High,Poor,10,2,2,1,2.73,0,2,0,0,1,2,1
143,16,M,3.893897797,1,6,2,4,0.408655645,High,Poor,4,1,1,4,2.51,0,2,0,0,1,0,2
144,17,M,7.326126992,1,4,3,5,0.074610159,Low,Poor,7,1,2,5,3.83,0,2,1,2,0,1,1
145,15,F,6.847251639,3,6,6,5,0.706768873,High,Average,7,0,2,1,3.69,1,1,2,2,1,1,0
146,13,M,2.120812375,1,5,4,5,0.404613833,High,Poor,2,2,0,1,1.78,1,2,2,0,1,2,2
147,16,F,2.389976802,0,6,3,3,0.930319817,High,Good,2,2,0,3,3.69,1,0,1,1,0,2,2
148,17,M,2.812845636,0,9,8,3,0.306561214,Moderate,Poor,3,2,0,4,2.01,1,2,1,0,1,2,0
149,16,M,4.111272783,2,7,10,5,0.843332821,Low,Good,4,0,1,5,1.07,0,0,1,1,0,1,1
150,18,F,2.343250657,2,6,10,4,0.680437845,Moderate,Average,2,0,2,2,3.8,1,2,1,1,0,2,0
151,17,M,0.196514827,1,8,10,5,0.853324616,High,Poor,0,1,0,1,3.58,1,2,1,2,0,1,1
152,17,F,8.793930568,1,5,9,5,0.291881877,High,Excellent,9,0,0,5,2.64,1,1,2,2,1,0,0
153,15,F,9.656098314,1,6,9,3,0.461345403,Low,Good,10,2,0,2,3.1,1,2,0,1,1,1,2
154,17,M,3.41570387,2,7,5,5,0.823129011,Moderate,Good,3,2,2,4,4.79,1,2,0,1,0,0,2
155,16,F,3.385068794,0,5,12,4,0.643818819,High,Poor,3,0,2,4,3.38,0,1,2,1,0,1,1
156,17,F,0.070918128,3,8,4,4,0.359921899,Low,Excellent,0,2,2,5,3.63,1,1,2,2,1,0,0
157,15,M,6.802506883,1,7,4,5,0.511995626,High,Excellent,7,2,1,2,1.26,1,0,0,0,1,1,1
158,15,M,8.254398957,3,9,5,4,0.996098094,High,Poor,8,0,1,4,1.66,1,1,2,1,0,1,2
159,18,F,1.466083004,1,10,12,5,0.741847995,Low,Average,1,0,0,5,2.2,0,0,1,2,0,1,2
160,16,M,1.596663494,2,5,12,3,0.614522653,Low,Average,2,2,2,4,3.16,0,2,2,0,0,1,1
161,14,F,7.9008325,1,6,10,5,0.82791138,High,Poor,8,2,0,4,4.11,0,0,2,2,1,2,1
162,14,F,6.162907484,0,6,8,1,0.442030339,Low,Average,6,2,2,4,2.28,0,1,2,0,0,1,1
163,17,M,0.448605576,3,5,7,3,0.950064005,High,Excellent,0,1,2,3,2.43,0,2,2,2,1,1,1
164,18,M,6.225469905,3,9,12,4,0.552021229,Moderate,Average,6,1,2,2,2.02,0,0,0,0,0,2,1
165,13,M,3.089177228,1,9,9,4,0.32687215,High,Average,3,1,1,5,2.02,0,0,0,1,1,2,0
166,17,M,3.687251555,2,7,11,3,0.086019978,Low,Average,4,0,1,5,4.8,0,0,0,2,0,2,1
167,18,F,7.697314183,2,7,5,1,0.375695219,Moderate,Poor,8,1,2,2,3.54,1,2,0,0,1,2,1
168,16,F,8.109351927,3,4,5,3,0.568638377,Low,Poor,8,0,0,2,1.62,1,0,1,0,1,2,2
169,16,M,4.003566268,1,7,11,2,0.703248139,High,Good,4,0,2,2,3.89,0,0,1,0,1,2,2
170,16,M,9.47152936,2,9,3,1,0.875116693,Low,Average,9,1,2,2,3.89,1,1,0,1,1,2,0
171,16,F,4.06462718,1,7,11,3,0.943960835,High,Poor,4,1,0,1,3.67,0,0,0,2,1,2,1
172,16,F,7.718360352,1,6,7,2,0.102453846,Low,Excellent,8,1,2,5,1.54,1,2,0,0,1,2,1
173,18,F,4.838772646,3,8,11,5,0.600904986,Low,Good,5,2,0,1,2.63,1,1,2,1,0,2,2
174,18,F,8.975323265,0,6,5,1,0.666589649,High,Excellent,9,1,1,4,1.43,0,2,1,1,0,2,2
175,15,M,9.077612437,0,7,9,5,0.172063817,Moderate,Average,9,2,1,4,4.27,1,1,1,1,0,0,2
176,14,F,0.874168079,2,7,7,2,0.54560068,High,Excellent,1,0,0,5,3.62,0,1,2,1,1,1,1
177,16,F,9.364933313,2,6,8,4,0.334833636,Moderate,Good,9,2,1,4,3.03,0,0,2,1,1,1,1
178,13,M,8.255348415,1,8,7,4,0.077417332,Moderate,Average,8,1,1,2,2.37,1,2,2,1,0,2,0
179,18,F,7.913107143,1,9,12,4,0.065865991,Moderate,Poor,8,0,0,1,1.74,0,0,1,1,1,2,2
180,13,F,2.009113397,3,4,9,5,0.75921298,Moderate,Excellent,2,0,1,2,1.43,1,1,2,2,1,0,2
181,13,M,8.051192088,1,10,5,1,0.615455452,High,Excellent,8,0,2,4,4.88,1,0,2,2,0,2,2
182,13,M,8.501327347,2,7,11,5,0.715121678,High,Good,9,2,2,1,1.8,0,1,2,1,0,0,2
183,15,M,2.891503345,2,8,5,5,0.685278155,Moderate,Poor,3,1,0,2,1.24,0,1,0,0,0,1,2
184,18,F,9.522600784,1,9,6,4,0.1343123,Moderate,Average,10,0,1,5,4.85,0,2,2,0,0,1,1
185,13,F,0.498601464,3,7,3,5,0.151565257,Moderate,Average,0,0,2,2,3.2,0,2,0,0,0,2,1
186,16,M,1.499092532,2,9,11,2,0.252483724,Moderate,Average,1,0,2,4,4.19,0,2,1,1,0,0,2
187,17,M,5.375811381,1,5,5,3,0.399100587,Moderate,Good,5,2,1,1,1.18,1,2,1,0,0,0,2
188,13,F,5.757924711,2,5,5,3,0.939176225,Moderate,Excellent,6,2,1,5,3.27,0,0,1,2,1,1,1
189,15,M,6.451500833,2,8,11,3,0.673892361,Low,Excellent,6,1,2,1,2.59,1,2,0,2,1,1,1
190,18,M,0.169691293,2,9,10,4,0.255171934,Moderate,Excellent,0,2,2,5,4.09,0,2,2,2,1,0,0
191,15,M,9.603667746,3,9,3,4,0.055984102,Low,Excellent,10,0,0,1,1.15,1,2,1,2,1,0,1
192,13,F,0.445880927,1,8,10,3,0.684223931,High,Good,0,1,0,4,2.61,1,1,2,1,0,1,0
193,18,F,1.430619527,1,7,11,1,0.625318471,High,Good,1,0,2,5,4.2,1,1,0,2,1,0,2
194,17,F,0.140145175,1,6,3,3,0.675763418,Moderate,Poor,0,0,0,3,3.09,1,2,1,0,1,1,2
195,13,F,5.668584333,0,10,10,5,0.261179654,High,Good,6,2,2,1,3.2,1,1,2,0,1,0,2
196,15,F,9.322668839,0,6,7,3,0.516963217,High,Excellent,9,1,2,1,1.39,0,1,2,2,1,2,1
197,14,F,6.659471661,3,8,9,3,0.361702801,Moderate,Average,7,2,0,2,1.53,1,0,1,2,0,1,1
198,16,M,8.226574685,2,7,7,1,0.817698939,High,Poor,8,2,0,5,3.71,0,1,2,2,1,0,2
199,15,F,0.132812035,2,8,9,4,0.069396662,High,Average,0,1,1,3,3.7,1,0,0,0,0,1,2
200,18,F,5.420152985,2,6,2,4,0.275441789,Moderate,Average,5,0,1,4,4.92,0,1,1,0,0,0,0
201,13,M,4.595629775,3,10,10,5,0.602953744,Moderate,Excellent,5,0,1,2,3.85,1,2,1,2,1,2,1
202,16,F,4.989679442,1,7,2,3,0.205223777,Moderate,Good,5,1,2,3,2.97,1,1,1,0,0,2,1
203,13,F,0.722131853,3,10,7,2,0.672713436,Low,Good,1,0,0,5,4.43,0,1,1,0,1,2,0
204,18,M,6.844353611,1,4,4,5,0.136772503,Moderate,Good,7,1,2,3,1.42,0,0,0,1,0,1,2
205,13,M,5.032204149,3,7,10,4,0.022812292,High,Excellent,5,1,0,1,2.8,1,2,0,2,0,2,2
206,14,M,7.651488499,2,8,5,1,0.863494533,Moderate,Excellent,8,2,2,1,2.15,1,0,2,2,0,1,1
207,16,F,4.852906341,1,8,7,4,0.333444401,Low,Average,5,1,1,2,1.42,0,2,0,1,1,2,1
208,16,M,1.493816362,2,9,6,4,0.156848983,High,Poor,1,2,1,5,4.05,1,2,2,1,1,1,2
209,18,F,6.482569541,2,4,10,1,0.172709026,Low,Good,6,0,1,5,3.04,1,0,2,0,1,2,0
210,14,F,1.723863621,0,4,7,3,0.885895394,High,Good,2,0,2,3,3.23,0,1,1,1,1,0,0
211,15,F,8.723945634,2,7,10,3,0.654431406,Moderate,Poor,9,0,0,2,2.65,1,2,2,2,0,0,0
212,13,F,6.131162391,1,4,3,4,0.956346267,Low,Average,6,0,0,5,2.84,1,1,1,2,1,1,1
213,17,M,1.572038836,0,10,4,5,0.800040323,Moderate,Average,2,2,1,1,1.46,0,0,2,2,0,2,0
214,13,M,9.623380575,3,5,8,2,0.767542685,High,Poor,10,0,1,3,3.69,1,0,0,0,0,2,1
215,13,F,5.183654633,2,7,11,5,0.49982066,Moderate,Good,5,1,1,4,2.73,0,0,1,0,0,0,1
216,15,M,0.728984519,3,4,3,5,0.820804899,Moderate,Excellent,1,1,1,1,4.27,0,0,2,2,0,2,2
217,13,F,6.268329044,2,7,2,4,0.412652538,High,Excellent,6,1,0,2,1.79,1,2,0,2,0,2,2
218,14,F,2.53198907,1,6,4,4,0.827000497,Low,Poor,3,2,2,5,1.82,1,0,0,0,0,1,0
219,14,F,8.036934519,2,4,8,2,0.757741292,High,Good,8,0,2,1,3.58,0,1,1,0,0,0,0
220,16,M,8.178220736,2,6,6,2,0.678438626,High,Poor,8,0,2,4,4.38,0,1,1,1,0,2,1
221,18,F,9.789473559,3,6,10,2,0.329716186,Moderate,Average,10,0,2,4,2.89,1,2,1,0,0,2,2
222,17,F,5.01869531,1,10,3,4,0.630711637,High,Average,5,2,1,2,3.91,0,0,2,0,0,1,2
223,13,M,4.549568797,3,5,4,4,0.506787625,Low,Excellent,5,1,1,1,5.0,1,2,1,2,0,1,1
224,13,M,7.534756054,3,7,5,5,0.461542867,High,Average,8,1,1,3,4.96,0,2,0,2,1,1,0
225,15,M,1.324706563,2,10,8,4,0.990246333,High,Average,1,0,2,1,3.98,0,2,0,2,0,1,0
226,18,M,5.469155138,3,9,9,3,0.50439783,Moderate,Poor,5,1,1,4,3.96,0,0,1,1,1,2,1
227,14,F,5.462476001,1,10,3,3,0.031986205,Low,Poor,5,1,1,2,1.99,1,1,1,0,1,2,2
228,17,M,0.894731228,3,10,11,2,0.626467869,Moderate,Good,1,2,0,2,4.33,0,1,0,1,0,2,1
229,16,F,4.179840855,2,7,5,4,0.728010845,Moderate,Poor,4,2,0,3,2.62,0,2,2,0,0,1,1
230,14,M,8.532847986,0,8,9,3,0.885183869,Low,Good,9,2,1,2,4.85,0,2,0,0,0,2,0
